scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Diploschistes scruposus,2,2,2,0.018747760384584762,0.013155092763200841,0.0,Fungi,Crater Lichen,0
Diplotaxis muralis,1,1,1,0.0,0.0,0.0,Plantae,annual wall-rocket,0
Dipodomys,3,2,3,0.02622296054387395,0.002339317881746304,0.0,Mammalia,Kangaroo Rats,0
Dipodomys simulans,16,12,16,0.007074777463719187,0.016084612343055093,0.6875,Mammalia,Dulzura Kangaroo Rat,0
Dipoena,1,1,1,0.0,0.0,0.0,Arachnida,Unknown,0
Dipsacus sativus,96,55,81,0.00666870036449121,0.0038924283721922695,0.8645833333333334,Plantae,fuller's teasel,0
Diptera,65,41,61,0.020222762890620964,0.017695973762885547,0.0,Insecta,Flies,1
Dipterostemon,3,3,3,0.02910833117062191,0.00215469298153798,0.0,Plantae,Unknown,0
Dipterostemon capitatus,443,238,265,0.020258395092882922,0.01902153413474052,0.9367945823927766,Plantae,Blue Dicks,1
Dipterostemon capitatus capitatus,269,152,189,0.015034266597921474,0.01678945605884552,0.9851301115241635,Plantae,Unknown,1
Disciseda,7,6,7,0.008814387657328988,0.013994271079246503,0.0,Fungi,Unknown,0
Disciseda candida,1,1,1,0.0,0.0,1.0,Fungi,Unknown,0
Disclisioprocta stellata,10,6,9,0.013434284061075205,0.01040924818807702,0.5,Insecta,Somber Carpet Moth,0
Disholcaspis,2,1,2,4.883774409018838e-06,5.026058432480156e-05,0.0,Insecta,Unknown,0
Disholcaspis canescens,2,2,2,0.0011940676747350138,0.0010755094141824584,0.0,Insecta,Round Honeydew Gall Wasp,0
Disholcaspis mamillana,1,1,1,0.0,0.0,1.0,Insecta,Unknown,0
Disholcaspis simulata,3,2,3,0.0007888678209802473,0.000868409415018437,0.0,Insecta,Dried Peach Gall Wasp,0
Distichlis,3,3,3,0.00024941893357129536,0.00119420540612954,0.0,Plantae,Unknown,0
Distichlis spicata,46,24,43,0.005746615335150098,0.011096929036625106,0.5869565217391305,Plantae,Saltgrass,0
Dittrichia,2,2,2,0.0019866378563661745,0.002057760636323204,0.0,Plantae,Unknown,0
Dittrichia graveolens,103,70,98,0.029504639338809285,0.01716905212562596,0.9514563106796117,Plantae,Stinkwort,1
Dolerus,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Dolichoderinae,2,2,2,0.015494805157455356,0.019055496013478904,0.0,Insecta,Odorous Ants,0
Dolichogenidea,1,1,1,0.0,0.0,1.0,Insecta,Unknown,0
Dolichopodidae,2,2,2,0.016764727217164516,0.01278829483833716,0.0,Insecta,Long-legged Flies,0
