scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Adenostoma fasciculatum,532,329,382,0.009623885695400345,0.0026258010458699546,0.9736842105263158,Plantae,chamise,1
Adenostoma fasciculatum obtusifolium,13,12,12,0.013054270168268019,0.004341078791544676,0.8461538461538461,Plantae,Southern chamise,0
Adiantum capillus-veneris,1,1,1,0.0,0.0,0.0,Plantae,black maidenhair fern,0
Adiantum jordanii,6,5,4,0.004939811354568032,0.00525676641521324,1.0,Plantae,California Maidenhair Fern,1
Aechmophorus,3,3,3,0.005038366368448732,0.0025566731882715058,0.6666666666666666,Aves,Western and Clark's Grebes,1
Aechmophorus occidentalis,11,10,11,0.007192584482110322,0.0037294648085325582,0.8181818181818182,Aves,Western Grebe,1
Aedes,2,2,2,0.00474775364813711,0.003591913226662148,0.0,Insecta,Unknown,0
Aedes squamiger,1,1,1,0.0,0.0,1.0,Insecta,California Saltmarsh Mosquito,0
Aedes taeniorhynchus,3,3,3,0.010076679981416292,0.0037132163096467324,0.6666666666666666,Insecta,Black Saltmarsh Mosquito,0
Aegialia,2,2,1,0.00042777860154862403,0.0004588118211088631,0.0,Insecta,Unknown,0
Aegialiinae,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Aeolothrips,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Aeronautes saxatalis,11,10,10,0.003492552092768521,0.006481759346880347,1.0,Aves,White-throated Swift,1
Aeshnidae,1,1,1,0.0,0.0,0.0,Insecta,Darners,0
Aethalodelphis obliquidens,1,1,1,0.0,0.0,0.0,Mammalia,Pacific White-sided Dolphin,0
Aethaloida packardaria,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Agapostemon,21,13,20,0.010275578711216139,0.003274903056737745,0.047619047619047616,Insecta,Unknown,1
Agapostemon subtilior,419,46,198,0.009215681423639259,0.0031135350695767395,0.9069212410501193,Insecta,Fine striped sweat bee,1
Agapostemon texanus,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Agaricales,27,14,18,0.012239559938903136,0.004337197462724093,0.0,Fungi,Common Gilled Mushrooms and Allies,1
Agaricineae,2,2,2,0.0012126834628303522,0.010246263425511238,0.0,Fungi,Unknown,0
Agaricomycetes,11,9,11,0.00890909389335734,0.00454640050451267,0.0,Fungi,"Mushrooms, Bracket Fungi, Puffballs, and Allies",1
Agaricus,10,8,7,0.014517186559452454,0.006931092361401281,0.0,Fungi,field and button mushrooms,1
Agaricus incultorum,1,1,1,0.0,0.0,0.0,Fungi,Poor-ground Agaricus,0
Agaricus megalocarpus,1,1,1,0.0,0.0,1.0,Fungi,Unknown,0
Agathidini,7,5,6,0.011797791209609587,0.001981739830897867,0.0,Insecta,Unknown,0
Agathistoma eiseni,1,1,1,0.0,0.0,1.0,Mollusca,Banded Tegula,1
Agave,16,16,16,0.0035740854774622376,0.005658196691719147,0.0,Plantae,century plants,1
Agave americana,14,14,14,0.00728443525285805,0.0015933458066755629,0.8571428571428571,Plantae,American century plant,0
Agave shawii,522,409,404,0.0019913570174273443,0.0022976038044216058,0.9904214559386973,Plantae,Shaw's Agave,1
Agavoideae,17,17,17,0.009158204829214358,0.002744692569589318,0.0,Plantae,Century plant subfamily,0
Agdistis,2,2,2,0.00659458850355591,0.007884046438709876,0.0,Insecta,Unknown,0
Agdistis americana,2,2,2,0.002666250063157936,0.006257832293137314,1.0,Insecta,Sea-heath Plume Moth,0
Agelaius phoeniceus,5,5,5,0.0083940582764605,0.009964522448973775,1.0,Aves,Red-winged Blackbird,0
Agelenidae,13,12,12,0.010469167713434134,0.002720605141869596,0.0,Arachnida,Funnel Weavers,1
Ageleninae,16,14,16,0.00956248937304753,0.0032125097703446332,0.5625,Arachnida,Typical Funnel Weavers,1
Agelenopsis,4,4,4,0.013285897400445144,0.004457502778617467,0.0,Arachnida,Grass Spiders,0
Agelenopsis aperta,13,11,12,0.01005476396919828,0.007134536348408501,0.07692307692307693,Arachnida,Desert Grass Spider,1
Ageniella,2,2,2,0.0004501913409282985,0.00151087117028584,0.0,Insecta,Unknown,0
Ageniella coronata,2,2,2,0.01350795559331645,0.00115986541469877,0.5,Insecta,Unknown,0
Aglaophenia,9,8,9,0.010791563138898978,0.0020596925114003822,0.0,Animalia,Ostrich-Plume Hydroids,1
Agrilus,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Agrilus blandus,2,2,2,0.002093036072313332,0.00030287738103826697,0.5,Insecta,Unknown,0
Agrocybe,4,4,4,0.010831621084407621,0.004464189238086436,0.0,Fungi,Unknown,0
Agrocybe pediades,4,4,4,0.00798471678198506,0.011497159744872467,0.25,Fungi,Common Fieldcap,1
Agromyzidae,2,2,2,0.011449253797870004,0.002497689312261994,0.0,Insecta,Leaf-miner Flies,0
Agrostis pallens,3,3,3,0.007694820017997264,0.0018616532250199985,0.3333333333333333,Plantae,seashore bentgrass,0
Agulla,8,6,8,0.00902904179011917,0.0032064295885523095,0.0,Insecta,Common Snakeflies,0
Agulla bicolor,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Aimophila ruficeps,81,55,78,0.004214128120796927,0.001724603030209169,0.9876543209876543,Aves,Rufous-crowned Sparrow,1
Aira caryophyllea,1,1,1,0.0,0.0,1.0,Plantae,Silver Hairgrass,0
Aizoaceae,2,2,2,0.000671080892762329,0.0008368221967937618,0.0,Plantae,Stone plants,1
Akephorus marinus,1,1,1,0.0,0.0,1.0,Insecta,Unknown,1
Albugo resedae,1,1,1,0.0,0.0,1.0,Chromista,Whitepuff Mold,0
Alchemilla occidentalis,3,3,2,0.0005330431696047558,0.0011429112542607485,0.6666666666666666,Plantae,western lady's mantle,0
Alcidamea,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Alepisaurus ferox,1,1,1,0.0,0.0,1.0,Actinopterygii,Longnose Lancetfish,0
Aleurodicus,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Aleuroplatus coronata,1,1,1,0.0,0.0,0.0,Insecta,Crown Whitefly,0
Aleyrodidae,4,3,4,0.006057666135026523,0.004907066765404843,0.0,Insecta,Whiteflies,0
Alisma triviale,1,1,1,0.0,0.0,1.0,Plantae,northern water-plantain,0
Allacrotelsa,2,2,2,0.019868522087184863,0.008158833720017323,0.0,Insecta,Unknown,0
Allacrotelsa spinulata,5,3,4,0.0012131369927465406,0.00074709999190396,0.4,Insecta,Unknown,1
Allium,4,4,4,0.0012551789638689046,0.002124861015772432,0.0,Plantae,onions,0
Allium haematochiton,50,41,40,0.012379466929438067,0.0026778894407788246,0.68,Plantae,red-skinned onion,0
Allium praecox,3,3,3,0.014805313393019586,0.0024622113085986217,1.0,Plantae,Early Onion,0
Allium vineale,1,1,1,0.0,0.0,0.0,Plantae,wild garlic,0
Allocryptovalsa microtheca,1,1,1,0.0,0.0,1.0,Fungi,Unknown,0
Allograpta,2,2,2,0.013274182485211403,0.002869316917877785,0.0,Insecta,Streaktails,1
Allograpta exotica,8,5,8,0.01407232126290398,0.007498886403941108,0.875,Insecta,Exotic Streaktail,0
Allograpta obliqua,29,19,26,0.010957330090245928,0.003949447421984616,0.9655172413793104,Insecta,Oblique Streaktail,1
Aloe maculata,6,6,6,0.002976909043531116,0.002862060804173239,0.8333333333333334,Plantae,soap aloe,0
Aloina bifrons,3,3,3,0.013286116048733955,0.004987129374812297,0.3333333333333333,Plantae,Unknown,0
