scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Phacelia,2,2,2,0.000294627778356183,0.00019209729507671053,0.0,Plantae,Scorpionweeds,1
Phacelia distans,7,7,5,0.0015420387801177839,0.00037530300380559864,0.8571428571428571,Plantae,distant phacelia,1
Phacelia parryi,6,6,6,0.0014684274667445697,0.0012035621068778165,1.0,Plantae,Parry's phacelia,1
Phacelia ramosissima,1,1,1,0.0,0.0,0.0,Plantae,branching phacelia,0
Phaeoclavulina,4,4,3,0.001082118126975675,0.002454495450342705,0.0,Fungi,Unknown,1
Phaeotremella foliacea,1,1,1,0.0,0.0,1.0,Fungi,Leafy Brain,1
Phidippus johnsoni,2,2,2,0.0004914328489658418,0.0007437252250863776,0.5,Arachnida,Johnson's Jumping Spider,0
Phlegmacium glaucopus,1,1,1,0.0,0.0,0.0,Fungi,greenfoot webcap,0
Phloeodes diabolicus,1,1,1,0.0,0.0,1.0,Insecta,Diabolical Ironclad Beetle,0
Phloeomana speirea,1,1,1,0.0,0.0,0.0,Fungi,Bark Bonnet,1
Phoradendron macrophyllum,4,3,4,0.0023041837473823054,0.00043207385798426626,0.75,Plantae,broadleaf mistletoe,1
Phylloscypha phyllogena,1,1,1,0.0,0.0,0.0,Fungi,Common Brown Cup,1
Pieris rapae,4,3,3,0.000757853758836337,0.00111332217753768,1.0,Insecta,Small White,0
Pimplinae,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Pinus,2,2,2,9.816996788409553e-05,0.00010842308691745124,0.0,Plantae,pines,0
Pipilo maculatus,7,6,7,0.001973627359067556,0.0004658317123734664,1.0,Aves,Spotted Towhee,0
Pisolithus arhizus,1,1,1,0.0,0.0,0.0,Fungi,Dyeball,1
Pisolithus tinctorius,5,3,5,0.0006541178876054587,0.0020790606676722926,0.0,Fungi,Dead Man's Foot,1
Pituophis catenifer annectens,1,1,1,0.0,0.0,1.0,Reptilia,San Diego Gopher Snake,0
Plagiobothrys,4,3,3,0.0017504286355559929,0.0015660529554033624,0.0,Plantae,Popcornflowers,1
Plagiobothrys nothofulvus,3,3,3,0.001969791597960767,0.0008733178983481043,0.3333333333333333,Plantae,Rusty Popcornflower,1
Plantae,4,4,4,0.0011548236514446325,0.0025927900999834974,0.0,Plantae,Plants,1
Plantago major,4,3,4,0.001076257535254537,0.0016418657287302716,1.0,Plantae,greater plantain,0
Platanus,2,2,2,0.0014514333298825332,0.0015980519209692146,0.0,Plantae,planes,1
Platanus racemosa,13,10,13,0.002226121724021758,0.0018974431672124448,0.9230769230769231,Plantae,western sycamore,1
Platynus brunneomarginatus,1,1,1,0.0,0.0,1.0,Insecta,Unknown,0
