rank,scientific_name,elevation,slope,aspect,ndvi,landcover,impervious,bathymetry,soil_sand,soil_ph,soil_clay,common_name,iconic_taxon_name,prob_RF_v1,prob_RF_v2,prob_RF_v3,prob_XGB_v1,prob_XGB_v2,prob_XGB_v3,prob_mean,prob_std,models_agree,confidence,imputed_into,sourced_from
56,Fulica americana,162.0,2.3933231830596924,141.57784271240234,0.1300017982721328,22.0,0.0,172.0,41.0,71.0,26.0,American Coot,Aves,0.09666666666666666,0.10782465639826787,0.14717271971879423,0.21382457,0.63259673,0.59389955,0.2986641487003948,0.24740453204638557,2,Low (<30%),Elliott Chaparral,Mission Trails
57,Aizoaceae,168.5,6.495713710784912,190.3257713317871,0.12506932765245435,22.0,7.5,186.5,40.5,72.5,28.0,Stone plants,Plantae,0.20333333333333334,0.29191926643866045,0.30511756220493447,0.46650797,0.17721303,0.32490927,0.2948334051911226,0.1026623461938764,0,Low (<30%),Elliott Chaparral,Mission Trails
58,Casuarina equisetifolia,187.0,9.909769535064697,177.6063232421875,0.2472552061080932,21.0,3.0,227.5,40.0,72.5,29.5,Beach Sheoak,Plantae,0.22,0.36207250057311063,0.4980993529217334,0.04468273,0.28745246,0.3062464,0.28642557378315286,0.15084702537777528,0,Low (<30%),Elliott Chaparral,Mission Trails
59,Psyllobora renifer,190.0,5.57838249206543,260.4598083496094,0.1457295417785644,52.0,0.0,186.0,44.0,73.0,25.0,Kidney-spotted Fairy Lady Beetle,Insecta,0.09333333333333334,0.1537129036843225,0.4240081104249714,0.10802234,0.69122237,0.20286335,0.27886040121102335,0.2350121846077056,1,Low (<30%),Elliott Chaparral,Mission Trails
60,Bovista,224.0,6.422542333602905,204.9811782836914,0.12753167748451227,52.0,0.0,170.0,43.5,73.0,27.5,True Puffballs,Fungi,0.23,0.2849496791205394,0.45963262790092335,0.11507084,0.3335306,0.20787029,0.2718423406251013,0.11803638739510461,0,Low (<30%),Elliott Chaparral,Mission Trails
61,Papilio zelicaon,227.0,7.679540634155273,93.2063446044922,0.1433059275150299,23.0,0.0,186.0,45.0,72.0,27.0,Anise Swallowtail,Insecta,0.25666666666666665,0.24800029282882513,0.33035405778227234,0.09659164,0.49278325,0.18377046,0.26802772751856624,0.1352179036978946,0,Low (<30%),Elliott Chaparral,Mission Trails
62,Eremochrysa,179.0,5.156605124473572,166.89217376708984,0.1155796386301517,36.5,0.5,224.5,49.5,70.5,25.5,Shadow Lacewings,Insecta,0.18333333333333332,0.08719570835147915,0.245644271665953,0.32275644,0.6465244,0.10680951,0.2653772823166994,0.20619336932615664,1,Low (<30%),Elliott Chaparral,Mission Trails
63,Aceria paracalifornica,153.0,5.679874420166016,180.0,0.159799262881279,22.0,3.0,166.0,45.0,72.0,25.0,California Sagebrush Gall Mite,Arachnida,0.22333333333333333,0.18336148670184368,0.18175158983205988,0.28650278,0.16645761,0.5339219,0.2625547823584791,0.1398480179121082,1,Low (<30%),Elliott Chaparral,Mission Trails
64,Aristida ternipes gentilis,219.0,7.249408721923828,207.02638244628903,0.1255217492580413,21.0,1.0,183.0,40.0,72.0,28.0,hook three-awn,Plantae,0.23,0.34015117033724107,0.5663961443927337,0.030931413,0.26183856,0.11076417,0.25668024190708766,0.1875546927650181,1,Low (<30%),Elliott Chaparral,Mission Trails
65,Tyrannus verticalis,162.0,5.16236138343811,180.0,0.14066460728645325,52.0,0.0,171.0,43.0,72.0,27.0,Western Kingbird,Aves,0.09333333333333334,0.10696420675376019,0.14145597334867033,0.26445183,0.5657054,0.35614872,0.25467658056488346,0.18319420479621826,1,Low (<30%),Elliott Chaparral,Mission Trails
66,Bombyliidae,171.5,7.908413171768188,253.04884338378903,0.12875889241695399,52.0,0.0,178.0,44.0,72.0,27.5,Bee Flies,Insecta,0.19,0.20099303942011582,0.2651072422675501,0.21043366,0.41757274,0.23474099,0.25314127796426233,0.08491131828191154,0,Low (<30%),Elliott Chaparral,Mission Trails
